canonical_key,job_id,company,role,location,first_seen,last_seen,source_url,official_apply_url,posted_date,authenticity_status,status,priority,probable_repost,previous_job_id,search_lane
733/95589233616,733/95589233616,McKesson,Software Engineer,"Bangaluru, India (Hybrid)",2026-08-08,2026-08-08,https://careers.mckesson.com/en/job/bengaluru/software-engineer/733/95589233616,https://careers.mckesson.com/en/job/bengaluru/software-engineer/733/95589233616,,Verified Official,Ready to Apply,1,,,General / Enterprise Software
126243,126243,IBM,Software Engineer - Confluent,"Bangalore, Karnataka, India",2026-08-08,2026-08-08,https://careers.ibm.com/en_US/careers/JobDetail/Software-Engineer-Confluent/126243,https://careers.ibm.com/en_US/careers/JobDetail/Software-Engineer-Confluent/126243,,Verified Official,Ready to Apply,2,,,General / Enterprise Software
110385859693290182,110385859693290182,Google,"Software Engineer III, Full Stack, Google Store","Bengaluru, Karnataka, India",2026-08-08,2026-08-08,https://www.google.com/about/careers/applications/jobs/results/110385859693290182-software-engineer-iii/,https://www.google.com/about/careers/applications/jobs/results/110385859693290182-software-engineer-iii/,,Verified Official,Tailoring Needed,3,,,Full Stack
126957,126957,IBM,Software Engineer - Confluent,"Bangalore, Karnataka, India",2026-08-08,2026-08-08,https://careers.ibm.com/en_US/careers/JobDetail/Software-Engineer-Confluent/126957,https://careers.ibm.com/en_US/careers/JobDetail/Software-Engineer-Confluent/126957,,Verified Official,Manual Verification,4,Yes,126243,General / Enterprise Software
116585,116585,IBM,Application Developer-Cloud FullStack,"Hyderabad, Telangana, India",2026-08-08,2026-08-08,https://careers.ibm.com/en_US/careers/JobDetail/Application-Developer-Cloud-FullStack/116585,https://careers.ibm.com/en_US/careers/JobDetail/Application-Developer-Cloud-FullStack/116585,,Verified Official,Tailoring Needed,5,,,Full Stack
83003,83003,IBM,Application Developer-Azure Cloud FullStack,"Bangalore, Karnataka, India",2026-08-08,2026-08-08,https://careers.ibm.com/en_US/careers/JobDetail/Application-Developer-Azure-Cloud-FullStack/83003,https://careers.ibm.com/en_US/careers/JobDetail/Application-Developer-Azure-Cloud-FullStack/83003,,Verified Official,Tailoring Needed,6,,,Full Stack
340302,340302,Oracle,Full stack Developer,"Bengaluru, Karnataka, India",2026-08-08,2026-08-08,https://careers.oracle.com/en/sites/jobsearch/job/340302/?keyword=React+Framework&lastSelectedFacet=AttributeChar6&location=India&locationId=300000000106947&locationLevel=country&mode=location&selectedFlexFieldsFacets=%2525252522AttributeChar6%252525257C3+to+5%252525252B+years%2525252522&selectedLocationsFacet=300000000106947&utm_source=google&weekdayJdUid=1349023utm_medium,https://careers.oracle.com/en/sites/jobsearch/job/340302/?keyword=React+Framework&lastSelectedFacet=AttributeChar6&location=India&locationId=300000000106947&locationLevel=country&mode=location&selectedFlexFieldsFacets=%2525252522AttributeChar6%252525257C3+to+5%252525252B+years%2525252522&selectedLocationsFacet=300000000106947&utm_source=google&weekdayJdUid=1349023utm_medium,,Verified Official,Tailoring Needed,7,,,Full Stack
200674285,200674285,Apple,Software Engineer - Java,"Hyderabad, Telangana, India",2026-08-08,2026-08-08,https://jobs.apple.com/en-in/details/200674285/software-engineer-java,https://jobs.apple.com/en-in/details/200674285/software-engineer-java,,Verified Official,Tailoring Needed,8,,,Java / Backend / Spring / Microservices
oracle-health-bengaluru-search,oracle-health-bengaluru-search,Oracle,"Software Developer 3, Oracle Health","Bengaluru, Karnataka, India",2026-08-08,2026-08-08,https://careers.oracle.com/en/sites/jobsearch/jobs?lastSelectedFacet=POSTING_DATES&location=BANGALORE%252525252C+KARNATAKA%252525252C+India&locationId=300001842985425&locationLevel=city&mode=location&radius=25&radiusUnit=MI&selectedFlexFieldsFacets=%2525252522AttributeChar29%252525257CIndividual+Contributor%252525257C%252525257CAttributeChar4%252525257CEmployee%2525252522&selectedPostingDatesFacet=7,,,Official Search Lead,Manual Verification,9,,,General / Enterprise Software
4441506343,4441506343,Osettl Technologies Pvt Ltd (Legodesk),Full Stack Developer -- Java (Springboot) + React,"Bangalore, Karnataka, India",2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/full-stack-developer-java-springboot-%2B-react-at-legodesk-4441506343,,,Portal-Only Unverified,Manual Verification,10,,,React / Frontend
4441947109,4441947109,MUFG,Analyst - Full Stack Web C# .Net,"Bengaluru Area, Karnataka, India",2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/analyst-full-stack-web-c%23-net-at-mufg-4441947109,,,Portal-Only Unverified,Manual Verification,11,,,.NET / ASP.NET / C#
4448827499,4448827499,Uplers,Full-Stack Engineer (React / .NET Core / Azure),India,2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/full-stack-engineer-react-net-core-azure-at-uplers-4448827499,,,Portal-Only Unverified,Manual Verification,12,,,React / Frontend
4434990260,4434990260,DSV - Global Transport and Logistics,IT Developer,"Hyderabad, Telangana, India",2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/it-developer-at-dsv-global-transport-and-logistics-4434990260,,,Portal-Only Unverified,Manual Verification,13,,,General / Enterprise Software
4418753895,4418753895,Dayforce,(IND) Software Developer,"Bengaluru, Karnataka, India",2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/ind-software-developer-at-dayforce-4418753895,,,Portal-Only Unverified,Manual Verification,14,,,General / Enterprise Software
4450708181,4450708181,Shipco IT,Associate - Application Developer (React Developer),"Pune Division, Maharashtra, India",2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/associate-application-developer-react-developer-at-shipco-it-4450708181,,2026-08-07,Portal-Only Unverified,Manual Verification,15,,,React / Frontend
4440043767,4440043767,Worldpay,Java Developer – 2 to 5 yrs,Indore / Pune / Bangalore,2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/java-developer-spring-boot-rest-api-2-4-yrs-indore-pune-bangalore-at-worldpay-4440043767,,2026-08-08,Portal-Only Unverified,Manual Verification,16,,,Java / Backend / Spring / Microservices
4301159877,4301159877,Tecnovos,Developer - Java Full Stack,"Bangalore, Karnataka, India",2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/developer-java-full-stack-at-tecnovos-4301159877,,,Portal-Only Unverified,Manual Verification,17,,,Full Stack
4435557191,4435557191,Triveous,Full Stack Developer,India,2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/full-stack-developer-at-triveous-4435557191,,,Portal-Only Unverified,Manual Verification,18,,,Full Stack
4444328363,4444328363,NowFloats,"Software Engineer-Mobile (iOS, Android & React Native)","Hyderabad, Telangana, India",2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/software-engineer-mobile-ios-android-react-native-at-nowfloats-4444328363,,,Portal-Only Unverified,Manual Verification,19,,,React / Frontend
4431918819,4431918819,I Knowledge Factory (IKF),Jr. Full stack Developer,"Pune (Baner), India",2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/jr-full-stack-developer-at-i-knowledge-factory-ikf-4431918819,,,Portal-Only Unverified,Manual Verification,20,,,Full Stack
4550776,4550776,Tallect,Software Engineer (Full Stack) | Node.js | SQL | AI-Driven Development,"Bangalore Urban, Karnataka, India",2026-08-08,2026-08-08,https://wellfound.com/jobs/4550776-software-engineer-full-stack-node-js-sql-ai-driven-development,,2026-08-07,Portal-Only Unverified,Manual Verification,21,,,Full Stack
4450313037,4450313037,Husky Technologies,"Developer - Shotscope™ (.NET Full Stack) - Husky(Guindy, Chennai)","Chennai, Tamil Nadu, India",2026-08-08,2026-08-08,https://in.linkedin.com/jobs/view/developer-shotscope%E2%84%A2-net-full-stack-husky-guindy-chennai-at-husky-technologies-4450313037,,2026-08-08,Portal-Only Unverified,Manual Verification,22,,,.NET / ASP.NET / C#
